company,razon_corriente,prueba_acida,endeudamiento,endeudamiento_a_largo_plazo,covertura_de_intereses,ROA,ROE,rotacion_activos,rotacion_inventario,variacion
3m-co,0.24119939994980122,0.18174434858288288,0.5698096584983077,0.5099072588916652,0.05084450645782765,0.3480144342864403,0.7651864404626814,0.37301057325960507,0.015783906191990223,1.0
3m-co,0.21265268521469677,0.1473135089396926,0.5207163961338649,0.4369219621482986,0.056278752882555544,0.36095309866743724,0.7625171086669477,0.4330302424652539,0.014744279909627683,0.0
3m-co,0.18679076241950854,0.11687076701168764,0.5239850837349509,0.4269598492064238,0.036394214091142185,0.3592209602481218,0.7624825324408233,0.27458822933537363,0.010124095307841403,0.0
3m-co,0.11170328823865748,0.08807366255591004,0.7501430622150739,0.5526370524610736,0.030188283872298865,0.04087885174691838,0.5973630007687831,0.2100170960115246,0.012972168927788125,1.0
YPF,0.07768598236292155,0.04871717613540772,0.48923343328519553,0.4038991638007271,0.017350493870121688,0.1643771661308546,0.7180572565442043,0.10495749000394836,0.014377119068222734,0.0
YPF,0.12695749946694262,0.08111572938058609,0.48910780804134013,0.433522333458914,0.022760269729363555,0.20862792201987554,0.7272460685698889,0.2658469230222925,0.017768789452582225,1.0
YPF,0.10998717438956053,0.06781108033391808,0.4346526235764956,0.35850082982900144,0.02705452715431779,0.2850729815868896,0.7411635690964109,0.2653737126946727,0.01706595932155476,1.0
YPF,0.08104521866043839,0.039877357120665834,0.48247998151008087,0.3934913609013825,0.02131766019723042,0.11440514177067537,0.7078900371328839,0.029740214027554612,0.008397876375507169,1.0
adv-micro-device,0.34587053024454784,0.2883209137352172,0.18391607177324684,0.024358895531074162,0.08673695620196396,0.545246320945618,0.7656429440551509,0.7182330805904856,0.014507863572210546,1.0
adv-micro-device,0.2635153598517133,0.21873845695542649,0.23250794142226403,0.0,0.2665793165469967,0.5170910619424934,0.7652087659154378,0.9154401627176243,0.017475693092221488,0.0
adv-micro-device,0.31666593092975004,0.25406409289432347,0.021875481251128204,0.041153153922333874,0.05276846322049833,0.23217084720526177,0.7293904306752205,0.09424322699034668,0.01301103246780764,1.0
adv-micro-device,0.3403336352314693,0.26978576817551453,0.008427666125233352,0.02348091264335403,0.028424988138518098,0.22374446361870937,0.7285950754644199,0.08148253793503515,0.01083657035800439,0.0
amazon-com-inc,0.10843872182769655,0.09661552540807244,0.5516715716392655,0.26377162972465396,0.051709709187573956,0.28898941310777004,0.7477890880095118,0.813148446949431,0.03372962284588327,1.0
amazon-com-inc,0.12205594554923242,0.10434372363521771,0.5129852077321357,0.281242319287597,0.051363309601243176,0.30465246573133276,0.7489569860716686,0.7416585315124725,0.02992409930748796,0.0
amazon-com-inc,0.09162916964777075,0.07245816351099754,0.526324085644469,0.29692350448244353,0.032695631040428094,0.2013664737876391,0.7255399974631207,0.736373154222653,0.031057398951777546,1.0
amazon-com-inc,0.1076187715661399,0.09332319118773627,0.4581849421537951,0.25306221955687025,0.04636719081430121,0.278357118037676,0.74079389170269,0.7178382604373148,0.03586446776578652,1.0
apple-computer-inc,0.15833010285567345,0.17726732411435764,0.642531398828942,0.42271847474434254,0.07280604607349189,0.4233357457314327,0.8063626415447842,0.5143672498032619,0.140530625309291,1.0
apple-computer-inc,0.11231150093696109,0.12450752096677165,0.6649644916932784,0.41249676862005347,0.11449078331957702,0.5354316722625226,0.8623924997658723,0.6784661423319508,0.11557818717938997,0.0
apple-computer-inc,0.08123502303334078,0.09405236671171899,0.701786689486889,0.3690847319475534,0.01972116479519194,0.5514090431322487,0.9046255020028673,0.7422392467539853,0.16574536491717834,1.0
apple-computer-inc,0.09853361429896633,0.11098086129433996,0.6685179178539862,0.3607665749394925,0.01972116479519194,0.5419236433801997,0.867801100076382,0.7162940356334149,0.12585990451177234,1.0
at-t,0.07175720105082879,0.07913522789107763,0.5005497128897156,0.48902070995423774,0.026995345995940084,0.1965649103522367,0.7245979149384373,0.029202036307176688,0.08048432526722571,0.0
at-t,0.1971645586210105,0.22100645152424514,0.5083193873472166,0.4239860941208071,0.03163058487178107,0.2526191297666827,0.7371321315668344,0.004674874141209595,0.08380581956184885,1.0
at-t,0.03507134987608722,0.03946733806404499,0.5787493563614523,0.5475595534725892,0.03039966538546276,0.18285166766016495,0.7199057638097416,0.05249836110370912,0.08037494196332723,0.0
at-t,0.05476405878650181,0.0632751923241793,0.5490619510023742,0.5321208487958727,0.028702850882824895,0.25137324924077614,0.7381929072436373,0.05338085691199759,0.11691230256597256,1.0
berkshire-hathaway-inc,0.6182635769393209,0.6137676892285719,0.3213690109126822,0.38059066984135526,0.05904767224677951,0.26748169202623767,0.7357184944727169,0.03677963756789593,0.026579509835259602,1.0
berkshire-hathaway-inc,0.6736268767750091,0.6669702330172318,0.30045381415598105,0.3649529913909787,0.08322206590440451,0.32218903890484685,0.7429818137568951,0.042670613253423695,0.027401291718367218,1.0
berkshire-hathaway-inc,0.5949405994365998,0.5724004994820916,0.3302539067575919,0.38938760172716824,0.004912657375201957,0.17941371560560662,0.722956206498535,0.06827671083147593,0.024752644428270364,1.0
berkshire-hathaway-inc,0.6276988082132469,0.6183873466015494,0.3041515528022357,0.36246929577718234,0.07637608923906297,0.3174944878392965,0.7424283401738907,0.08700456423414585,0.029305736105059085,1.0
boeing-co,0.1652469184714394,0.02679943941104542,0.9741353252219884,0.4985479173494376,0.01066645260393888,0.1126243513943973,0.786608839920526,0.12647664322676502,0.0014796042367056302,1.0
